Trial,IsContained,Direction,Goal,PGreen,PRed,PTimeUp,AvgBounces,AvgTime
regular_14,regular,forward,G,0.3252,0.6676,0.0072,7.7512,10.68357
regular_14,regular,none,G,0.2266,0.7704,0.003,3.9772,5.27258
regular_29,regular,forward,R,0.0926,0.9064,0.001,3.0252,6.02325
regular_29,regular,none,R,0.2698,0.7298,0.0004,3.516,5.11036
regular_38,regular,forward,G,0.6714,0.3284,0.0002,8.3954,5.99444
regular_38,regular,none,G,0.6192,0.3808,0.0,5.2946,3.64551
regular_89,regular,forward,R,0.484,0.5158,0.0002,3.2422,3.22331
regular_89,regular,none,R,0.6134,0.3866,5.55111512313e-17,3.6304,3.59254
regular_86,regular,forward,G,0.9212,0.0784,0.0004,7.4928,5.62432
regular_86,regular,none,G,0.9084,0.0902,0.0014,9.7772,6.57759
regular_73,regular,forward,G,0.6586,0.1608,0.1806,26.9288,20.43002
regular_73,regular,none,G,0.7338,0.1642,0.102,20.3034,12.52295
regular_80,regular,forward,R,0.416,0.5838,0.0002,6.3462,6.70521
regular_80,regular,none,R,0.7626,0.2372,0.0002,3.0534,2.94838
regular_76,regular,forward,R,0.0758,0.8866,0.0376,17.1902,14.78852
regular_76,regular,none,R,0.0836,0.8882,0.0282,14.3112,12.12217
regular_78,regular,forward,G,0.1188,0.8492,0.032,17.0926,10.90213
regular_78,regular,none,G,0.196,0.765,0.039,20.354,12.77476
regular_54,regular,forward,R,0.7836,0.216,0.0004,2.8488,4.38126
regular_54,regular,none,R,0.6026,0.3964,0.001,5.9358,5.85275
regular_9,regular,forward,R,0.0262,0.9738,0.0,1.527,2.7114
regular_9,regular,none,R,0.3984,0.6012,0.0004,2.4754,4.04028
regular_55,regular,forward,G,0.6558,0.3322,0.012,10.4636,10.75846
regular_55,regular,none,G,0.608,0.387,0.005,8.5016,8.2093
regular_31,regular,forward,G,0.4502,0.5486,0.0012,4.1644,5.61148
regular_31,regular,none,G,0.2986,0.698,0.0034,4.9458,6.51166
regular_15,regular,forward,G,0.083,0.917,0.0,5.445,3.81228
regular_15,regular,none,G,0.3622,0.6378,-1.11022302463e-16,1.4928,2.09112
regular_70,regular,forward,G,0.5308,0.4682,0.001,4.312,5.9164
regular_70,regular,none,G,0.3812,0.6186,0.0002,2.9118,3.44304
regular_30,regular,forward,G,0.8012,0.1986,0.0002,3.1456,5.3207
regular_30,regular,none,G,0.7272,0.2722,0.0006,4.2836,5.7446
regular_20,regular,forward,G,0.67,0.326,0.004,5.8424,9.70131
regular_20,regular,none,G,0.5456,0.4536,0.0008,3.0946,4.59791
regular_27,regular,forward,G,0.606,0.3852,0.0088,5.879,8.507
regular_27,regular,none,G,0.3954,0.599,0.0056,5.8038,8.01624
regular_32,regular,forward,R,0.643,0.346,0.011,5.7966,7.68159
regular_32,regular,none,R,0.5918,0.3918,0.0164,6.2598,8.77115
regular_60,regular,forward,R,0.3308,0.66,0.0092,10.3802,8.15675
regular_60,regular,none,R,0.336,0.6578,0.0062,9.671,7.25935
regular_21,regular,forward,R,0.5408,0.4588,0.0004,12.617,8.23205
regular_21,regular,none,R,0.7086,0.2912,0.0002,5.5484,4.18712
regular_95,regular,forward,G,0.7552,0.2436,0.0012,10.5764,6.72651
regular_95,regular,none,G,0.8994,0.0974,0.0032,8.993,6.3681
regular_93,regular,forward,G,0.3256,0.5734,0.101,24.1618,19.52716
regular_93,regular,none,G,0.3116,0.6022,0.0862,22.0552,17.9376
regular_49,regular,forward,R,0.3458,0.6542,0.0,1.9226,3.81647
regular_49,regular,none,R,0.7228,0.277,0.0002,3.757,4.40483
regular_53,regular,forward,R,0.5984,0.3902,0.0114,7.5454,7.61766
regular_53,regular,none,R,0.626,0.3628,0.0112,9.8214,8.55968
regular_90,regular,forward,G,0.3272,0.6722,0.0006,17.3146,7.09191
regular_90,regular,none,G,0.265,0.7348,0.0002,15.3186,5.15778
regular_92,regular,forward,R,0.186,0.8082,0.0058,11.1362,9.34096
regular_92,regular,none,R,0.233,0.7626,0.0044,8.9792,8.13703
regular_10,regular,forward,R,0.2672,0.7328,0.0,3.0174,5.91822
regular_10,regular,none,R,0.5332,0.4668,0.0,1.5628,2.90296
regular_4,regular,forward,R,0.124,0.876,0.0,1.5452,2.2198
regular_4,regular,none,R,0.1928,0.8046,0.0026,4.5574,6.18722
regular_5,regular,forward,R,0.5308,0.4688,0.0004,4.3856,6.24957
regular_5,regular,none,R,0.3754,0.6242,0.0004,1.8932,3.52372
regular_19,regular,forward,G,0.4598,0.5394,0.0008,2.9794,6.88947
regular_19,regular,none,G,0.7184,0.2812,0.0004,2.7738,4.62293
regular_62,regular,forward,G,0.738,0.2592,0.0028,8.7852,7.89192
regular_62,regular,none,G,0.8126,0.1874,0.0,5.1404,4.5871
regular_72,regular,forward,R,0.128,0.8704,0.0016,11.0772,7.48333
regular_72,regular,none,R,0.184,0.815,0.001,12.4852,7.48844
regular_7,regular,forward,G,0.8112,0.1886,0.0002,4.6344,6.15194
regular_7,regular,none,G,0.906,0.094,-2.77555756156e-17,3.0228,4.03652
regular_45,regular,forward,G,0.6536,0.346,0.0004,4.3324,5.49052
regular_45,regular,none,G,0.3614,0.6386,1.11022302463e-16,3.0494,4.66995
regular_34,regular,forward,G,0.6976,0.3024,0.0,4.7892,6.25155
regular_34,regular,none,G,0.66,0.3398,0.0002,5.4378,5.23842
regular_23,regular,forward,R,0.2532,0.7352,0.0116,4.6542,7.12911
regular_23,regular,none,R,0.448,0.525,0.027,6.8172,10.90301
regular_0,regular,forward,R,0.184,0.8152,0.0008,3.8968,6.35525
regular_0,regular,none,R,0.5204,0.4794,0.0002,1.0624,2.13852
regular_36,regular,forward,G,0.2694,0.7302,0.0004,2.5932,4.29185
regular_36,regular,none,G,0.409,0.591,0.0,1.603,2.7662
regular_39,regular,forward,G,0.6006,0.3986,0.0008,13.2228,8.42257
regular_39,regular,none,G,0.604,0.3954,0.0006,13.1772,7.09899
regular_37,regular,forward,R,0.2012,0.7858,0.013,11.7764,13.04447
regular_37,regular,none,R,0.1396,0.8532,0.0072,7.2148,8.02428
regular_67,regular,forward,G,0.944,0.0556,0.0004,5.374,5.8525
regular_67,regular,none,G,0.898,0.1018,0.0002,3.3056,3.44519
regular_57,regular,forward,G,0.5156,0.4836,0.0008,4.6878,7.05793
regular_57,regular,none,G,0.4298,0.5702,0.0,2.5924,3.4379
regular_41,regular,forward,R,0.1332,0.8624,0.0044,11.3356,8.9073
regular_41,regular,none,R,0.1422,0.8562,0.0016,4.7282,4.44249
regular_85,regular,forward,G,0.8576,0.1424,-2.77555756156e-17,7.2952,3.77782
