Trial,Time,PRed,PGreen
RTr_Bl4_11,7.3,0.468181521,0.531818509
RTr_Bl4_11,7.4,0.444630831,0.555369139
RTr_Bl4_11,7.5,0.459906161,0.540093839
RTr_Bl4_11,7.6,0.412444472,0.587555528
RTr_Bl4_11,7.7,0.400892735,0.599107265
RTr_Bl4_11,7.8,0.31224075,0.68775928
RTr_Bl4_11,7.9,0.254721105,0.745278955
RTr_Bl4_11,8,0.228858888,0.771141112
RTr_Bl4_11,8.1,0.197438583,0.802561402
RTr_Bl4_11,8.2,0.189583823,0.810416162
RTr_Bl4_11,8.3,0.168367356,0.831632674
RTr_Bl4_11,8.4,0.176929668,0.823070347
RTr_Bl4_12,0.1,0.179579616,0.820420384
RTr_Bl4_12,0.2,0.181921646,0.818078339
RTr_Bl4_12,0.3,0.205753237,0.794246793
RTr_Bl4_12,0.4,0.208172679,0.791827261
RTr_Bl4_12,0.5,0.214370131,0.785629809
RTr_Bl4_12,0.6,0.223909914,0.776090086
RTr_Bl4_12,0.7,0.239316553,0.760683477
RTr_Bl4_12,0.8,0.230195493,0.769804478
RTr_Bl4_12,0.9,0.221731439,0.778268576
RTr_Bl4_12,1,0.227169633,0.772830427
RTr_Bl4_12,1.1,0.239773348,0.760226667
RTr_Bl4_12,1.2,0.236238182,0.763761759
RTr_Bl4_12,1.3,0.235657066,0.764342844
RTr_Bl4_12,1.4,0.242849961,0.757150054
RTr_Bl4_12,1.5,0.262504011,0.737495959
RTr_Bl4_12,1.6,0.274323076,0.725676954
RTr_Bl4_12,1.7,0.276840687,0.723159373
RTr_Bl4_12,1.8,0.269289762,0.730710268
RTr_Bl4_12,1.9,0.270035028,0.729964912
RTr_Bl4_12,2,0.265486062,0.734513998
RTr_Bl4_12,2.1,0.270951301,0.729048729
RTr_Bl4_12,2.2,0.271730214,0.728269756
RTr_Bl4_12,2.3,0.2757456,0.72425437
RTr_Bl4_12,2.4,0.291187257,0.708812714
RTr_Bl4_12,2.5,0.32240808,0.67759198
RTr_Bl4_12,2.6,0.325918049,0.674081862
RTr_Bl4_12,2.7,0.292963862,0.707036197
RTr_Bl4_12,2.8,0.25739041,0.74260956
RTr_Bl4_12,2.9,0.237155557,0.762844443
RTr_Bl4_12,3,0.240152955,0.759847045
RTr_Bl4_12,3.1,0.225943476,0.774056494
RTr_Bl4_12,3.2,0.233663112,0.766336918
RTr_Bl4_12,3.3,0.251047701,0.748952389
RTr_Bl4_12,3.4,0.245177805,0.754822195
RTr_Bl4_12,3.5,0.262862563,0.737137437
RTr_Bl4_12,3.6,0.254618615,0.745381355
RTr_Bl4_12,3.7,0.264267474,0.735732555
RTr_Bl4_12,3.8,0.263336599,0.736663342
RTr_Bl4_12,3.9,0.261424124,0.738575876
RTr_Bl4_12,4,0.265403926,0.734596074
RTr_Bl4_12,4.1,0.252556056,0.747443914
RTr_Bl4_12,4.2,0.258928686,0.741071343
RTr_Bl4_12,4.3,0.229220927,0.770779014
RTr_Bl4_12,4.4,0.224792525,0.77520746
RTr_Bl4_12,4.5,0.233273894,0.766726136
RTr_Bl4_12,4.6,0.248652071,0.751347899
RTr_Bl4_12,4.7,0.232725009,0.767274976
RTr_Bl4_12,4.8,0.228958786,0.771041274
RTr_Bl4_12,4.9,0.227277592,0.772722423
RTr_Bl4_12,5,0.232783601,0.767216444
RTr_Bl4_12,5.1,0.22145924,0.77854079
RTr_Bl4_12,5.2,0.200502798,0.799497247
RTr_Bl4_12,5.3,0.207198843,0.792801142
RTr_Bl4_12,5.4,0.219194785,0.78080523
RTr_Bl4_12,5.5,0.234595746,0.765404165
RTr_Bl4_12,5.6,0.24356094,0.75643903
